word,language,lang_code,seed_word,meaning_en,category,domain,morph_type,ipa,x1_weight,x2_time,x3_space,x4_flow,x5_hardness,x6_moisture,x7_freq_hz,x8_decay,color_hex
ぷくぷく,JP,ja,ふく,Manner or sound of ぷくぷく: 「ぷく」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),pukupuku,4,5,5,5,7,6,376.7,4,#FFB6C1
ぷすぷす,JP,ja,ふす,Manner or sound of ぷすぷす: 「ぷす」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),pusupusu,3,5,4,4,7,5,586.4,4,#FFFACD
ぷすり,JP,ja,ふす,Manner or sound of ぷすり: 「ぷす」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),pusuɾi,3,6,6,4,8,4,517.6,6,#FFFFFF
ぷすん,JP,ja,ふす,Manner or sound of ぷすん: 「ぷす」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),pusuŋ,4,7,7,6,5,5,516.2,6,#808080
ぷちぷち,JP,ja,ふち,Manner or sound of ぷちぷち: 「ぷち」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),putɕiputɕi,4,6,5,6,5,6,967.7,6,#FF1493
ぷっ,JP,ja,ふ,Manner or sound of ぷっ: 「ぷ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),puʔ,4,8,7,7,6,4,558.4,8,#000000
ぷっくり,JP,ja,ふっく,Manner or sound of ぷっくり: 「ぷっく」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),pukkuɾi,4,5,5,5,7,5,330.3,6,#8B4513
ぷっつり,JP,ja,ふっつ,Manner or sound of ぷっつり: 「ぷっつ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),puttsuɾi,4,5,5,5,7,5,386.4,6,#000000
ぷっつん,JP,ja,ふっつ,Manner or sound of ぷっつん: 「ぷっつ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),puttsuŋ,4,7,7,6,5,5,497.9,7,#8B0000
ぷつっ,JP,ja,ふつ,Manner or sound of ぷつっ: 「ぷつ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),putsuʔ,4,8,7,7,6,4,543.1,8,#000000
ぷつぷつ,JP,ja,ふつ,Manner or sound of ぷつぷつ: 「ぷつ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),putsuputsu,4,5,5,6,6,6,466.4,5,#FF4500
ぷつん,JP,ja,ふつ,Manner or sound of ぷつん: 「ぷつ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),putsuŋ,4,7,7,6,5,5,480.5,6,#8B0000
ぷらぷら,JP,ja,ふら,Manner or sound of ぷらぷら: 「ぷら」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),puɾapuɾa,3,4,3,3,8,5,419.0,3,#FF1493
ぷらん,JP,ja,ふら,Manner or sound of ぷらん: 「ぷら」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),puɾaŋ,4,6,7,4,6,5,445.6,6,#808080
ぷりんぷりん,JP,ja,ふりんふ,Manner or sound of ぷりんぷりん: 「ぷりんぷり」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),puɾimpuɾiŋ,4,6,6,5,5,6,760.8,5,#FF1493
ぷるんぷるん,JP,ja,ふるんふる,Manner or sound of ぷるんぷるん: 「ぷるんぷる」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),puɾumpuɾuŋ,4,5,6,5,6,6,349.7,4,#FF0000
ぷーん,JP,ja,ふ,Manner or sound of ぷーん: 「ぷー」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,LONG(長音ー),puːŋ,4,4,6,5,6,5,855.2,2,#FFD700
へこへこ,JP,ja,へこ,Manner or sound of へこへこ: 「へこ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),hekoheko,3,5,4,4,6,5,454.7,5,#FFD700
へっくしょん,JP,ja,へっくしょ,Manner or sound of へっくしょん: 「へっくしょ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hekkuɕoŋ,5,6,6,5,6,6,348.3,7,#FFFFFF
へっへっ,JP,ja,へっへ,Manner or sound of へっへっ: 「へっへ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),hehheʔ,4,6,5,5,6,5,434.5,6,#2F4F4F
へろへろ,JP,ja,へろ,Manner or sound of へろへろ: 「へろ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),heɾoheɾo,4,4,3,3,8,6,375.0,3,#FFFFE0
べこべこ,JP,ja,へこ,Manner or sound of べこべこ: 「べこ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),bekobeko,5,5,5,5,6,5,477.0,5,#DAA520
べこり,JP,ja,へこ,Manner or sound of べこり: 「べこ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),bekoɾi,3,6,6,4,7,4,526.7,6,#FFFFFF
べたっ,JP,ja,へた,Manner or sound of べたっ: 「べた」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),betaʔ,5,7,6,7,5,5,443.7,7,#000000
べたり,JP,ja,へた,Manner or sound of べたり: 「べた」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),betaɾi,4,5,5,5,7,5,396.1,6,#FFFFFF
べちゃくちゃ,JP,ja,へちゃくちゃ,Manner or sound of べちゃくちゃ: 「べちゃくちゃ」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),betɕakutɕa,4,6,5,5,5,7,792.6,6,#FF69B4
べちゃべちゃ,JP,ja,へちゃ,Manner or sound of べちゃべちゃ: 「べちゃ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),betɕabetɕa,5,5,4,4,5,7,843.6,5,#8B4513
べっちゃんこ,JP,ja,へっちゃんこ,Manner or sound of べっちゃんこ: 「べっちゃんこ」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),bettɕaŋko,5,6,6,6,4,6,541.6,6,#708090
べらべらっ,JP,ja,へら,Manner or sound of べらべらっ: 「べらべら」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),beɾabeɾaʔ,5,7,6,5,7,4,523.0,6,#FF8C00
べりべり,JP,ja,へりへ,Manner or sound of べりべり: 「べりべ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),beɾibeɾi,4,5,5,5,6,5,556.0,5,#FF8C00
べりべりっ,JP,ja,へりへ,Manner or sound of べりべりっ: 「べりべり」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),beɾibeɾiʔ,5,7,7,7,5,4,787.7,7,#FF8C00
べろっ,JP,ja,へろ,Manner or sound of べろっ: 「べろ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),beɾoʔ,5,7,6,6,6,4,496.1,7,#000000
べろべろ,JP,ja,へろ,Manner or sound of べろべろ: 「べろ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),beɾobeɾo,5,4,4,4,7,6,362.2,3,#FF8C00
べろべろっ,JP,ja,へろ,Manner or sound of べろべろっ: 「べろべろ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),beɾobeɾoʔ,5,7,6,6,6,5,457.0,7,#FFB6C1
べろりべろり,JP,ja,へろりへろ,Manner or sound of べろりべろり: 「べろりべろ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),beɾoɾibeɾoɾi,4,5,4,4,7,5,519.3,4,#FFC0CB
べろんべろん,JP,ja,へろんへろ,Manner or sound of べろんべろん: 「べろんべろ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),beɾombeɾoŋ,5,5,5,4,6,6,353.0,4,#FF8C00
ぺかぺか,JP,ja,へか,Manner or sound of ぺかぺか: 「ぺか」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),pekapeka,3,6,5,3,6,4,727.8,5,#FFD700
ぺこん,JP,ja,へこ,Manner or sound of ぺこん: 「ぺこ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),pekoŋ,4,7,7,5,5,5,554.2,7,#FFD700
ぺしゃっ,JP,ja,へしゃ,Manner or sound of ぺしゃっ: 「ぺしゃ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),peɕaʔ,4,8,7,6,6,4,729.9,8,#808080
ぺしゃんこ,JP,ja,へしゃんこ,Manner or sound of ぺしゃんこ: 「ぺしゃんこ」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),peɕaŋko,4,6,6,4,6,6,491.7,6,#708090
ぺたっ,JP,ja,へた,Manner or sound of ぺたっ: 「ぺた」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),petaʔ,4,8,7,6,6,4,524.6,8,#000000
ぺたべた,JP,ja,へたへた,Manner or sound of ぺたべた: 「ぺたべた」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),petabeta,5,5,4,5,6,7,312.5,6,#8B4513
ぺたり,JP,ja,へた,Manner or sound of ぺたり: 「ぺた」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),petaɾi,3,6,6,4,7,5,470.5,6,#FFFFFF
ぺたん,JP,ja,へた,Manner or sound of ぺたん: 「ぺた」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),petaŋ,4,7,7,5,5,6,478.0,7,#808080
ぺちゃぺちゃ,JP,ja,へちゃ,Manner or sound of ぺちゃぺちゃ: 「ぺちゃ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),petɕapetɕa,4,6,5,4,6,7,885.9,5,#FF69B4
ぺちゃん,JP,ja,へちゃ,Manner or sound of ぺちゃん: 「ぺちゃ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),petɕaŋ,4,8,7,5,5,6,765.0,7,#708090
ぺっ,JP,ja,へ,Manner or sound of ぺっ: 「ぺ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),peʔ,4,8,7,6,6,4,626.6,8,#000000
ぺったん,JP,ja,へった,Manner or sound of ぺったん: 「ぺった」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),pettaŋ,5,7,7,5,4,6,450.8,7,#FFFFFF
ぺったんこ,JP,ja,へったんこ,Manner or sound of ぺったんこ: 「ぺったんこ」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),pettaŋko,5,6,6,5,5,6,309.4,6,#FFFFFF
ぺっとり,JP,ja,へっと,Manner or sound of ぺっとり: 「ぺっと」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),pettoɾi,4,5,5,4,7,5,393.3,6,#D8BFD8
ぺっぺっ,JP,ja,へっへ,Manner or sound of ぺっぺっ: 「ぺっぺ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),peppeʔ,4,6,5,5,6,5,527.7,6,#FFFFFF
ぺらぺら,JP,ja,へら,Manner or sound of ぺらぺら: 薄いさま、あるいは流暢に話す manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),peɾapeɾa,2,6,4,2,8,4,697.8,4,#FFFFFF
ぺろぺろっ,JP,ja,へろ,Manner or sound of ぺろぺろっ: 「ぺろぺろ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),peɾopeɾoʔ,3,7,6,5,7,5,590.7,7,#FFC0CB
ぺろり,JP,ja,へろ,Manner or sound of ぺろり: 「ぺろ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),peɾoɾi,2,6,6,4,8,5,572.3,6,#FFC0CB
ぺろりぺろり,JP,ja,へろりへろ,Manner or sound of ぺろりぺろり: 「ぺろりぺろ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),peɾoɾipeɾoɾi,3,5,5,3,7,5,706.5,5,#FFC0CB
ぺんぺん,JP,ja,へんへ,Manner or sound of ぺんぺん: 「ぺんぺ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),pempeŋ,4,6,6,4,5,6,492.1,5,#FFFFFF
ほぎゃー,JP,ja,ほきゃ,Manner or sound of ほぎゃー: 音が長く尾を引いて持続する音や condition/state。,Psychomime (State/Manner),Other,LONG(長音ー),hoɡjaː,4,3,5,3,7,4,1067.6,1,#C08955
ほぎゃーほぎゃー,JP,ja,ほきゃーほきゃ,Manner or sound of ほぎゃーほぎゃー: 「ほぎゃー」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),hoɡjaːhoɡjaː,5,4,5,2,7,5,845.0,2,#FF4500
ほぞんかけたか,JP,ja,ほそんかけたか,Manner or sound of ほぞんかけたか: 「ほぞんかけたか」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hozoŋkaketaka,4,5,5,4,6,3,454.3,6,#FFD700
ほっかほか,JP,ja,ほっかほか,Manner or sound of ほっかほか: 「ほっかほか」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hokkahoka,3,5,5,3,7,3,555.9,5,#FF4500
ほっかほっか,JP,ja,ほっか,Manner or sound of ほっかほっか: 「ほっか」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),hokkahokka,3,5,5,3,7,3,662.7,5,#FF4500
ほっかり,JP,ja,ほっか,Manner or sound of ほっかり: 「ほっか」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hokkaɾi,3,5,5,4,7,4,497.1,6,#FFFFFF
ほっちり,JP,ja,ほっち,Manner or sound of ほっちり: 「ほっち」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hottɕiɾi,3,5,6,5,6,4,702.2,6,#708090
ほっほー,JP,ja,ほっほ,Manner or sound of ほっほー: 音が長く尾を引いて持続する音や condition/state。,Psychomime (State/Manner),Other,LONG(長音ー),hohhoː,3,2,5,4,8,4,855.5,1,#F5F5F5
ほととぎす,JP,ja,ほとときす,Manner or sound of ほととぎす: 「ほととぎす」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hototoɡisu,4,4,5,5,7,4,487.4,5,#483D8B
ほのぼの,JP,ja,ほのはの,Manner or sound of ほのぼの: 温かみが心に伝わる manner.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),honobono,5,3,3,4,7,6,168.5,4,#FFF0F5
ほほ,JP,ja,ほほ,Manner or sound of ほほ: 「ほほ」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hoho,3,4,4,4,8,5,454.6,4,#F5F5DC
ほほう,JP,ja,ほほう,Manner or sound of ほほう: 「ほほう」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hohou,3,4,4,4,7,5,521.5,4,#F5F5DC
ほほほ,JP,ja,ほほほ,Manner or sound of ほほほ: 「ほほほ」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hohoho,3,4,5,4,8,5,491.1,4,#F5F5DC
ほろほろ,JP,ja,ほろ,Manner or sound of ほろほろ: 「ほろ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),hoɾohoɾo,3,4,3,3,8,5,416.1,3,#FFFFFF
ほろり,JP,ja,ほろ,Manner or sound of ほろり: 「ほろ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),hoɾoɾi,2,5,5,4,8,5,504.0,5,#FFFFFF
ほろろ,JP,ja,ほろろ,Manner or sound of ほろろ: 「ほろろ」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hoɾoɾo,4,4,4,3,8,6,309.2,4,#FFFFFF
ほんぼこりん,JP,ja,ほんはこ,Manner or sound of ほんぼこりん: 「ほんぼこり」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hombokoɾiŋ,4,5,5,4,6,5,563.7,5,#8B4513
ほんわり,JP,ja,ほんわ,Manner or sound of ほんわり: 「ほんわ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,COMPOUND(複合・異種),hoŋwaɾi,3,4,4,3,8,5,345.0,4,#FFFACD
ほーほ,JP,ja,ほーほ,Manner or sound of ほーほ: 音が長く尾を引いて持続する音や condition/state。,Psychomime (State/Manner),Other,LONG(長音ー),hoːho,3,2,4,4,8,4,781.5,2,#F5F5F5
ほーほけきょ,JP,ja,ほーほけきょ,Manner or sound of ほーほけきょ: 音が長く尾を引いて持続する音や condition/state。,Psychomime (State/Manner),Other,LONG(長音ー),hoːhokekjo,3,3,5,3,8,4,1029.7,2,#ADFF2F
ぼいん,JP,ja,はい,Manner or sound of ぼいん: 「ぼい」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),boiŋ,5,6,6,6,5,5,567.0,6,#808080
ぼかすか,JP,ja,はかすか,Manner or sound of ぼかすか: 「ぼかすか」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),bokasuka,4,5,4,4,7,2,602.3,5,#F5F5F5
ぼかぼか,JP,ja,はか,Manner or sound of ぼかぼか: 「ぼか」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),bokaboka,5,5,3,4,6,4,354.0,4,#8B4513
ぼきっ,JP,ja,はき,Manner or sound of ぼきっ: 「ぼき」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),bokiʔ,5,8,7,7,5,3,709.2,8,#000000
ぼきぱき,JP,ja,はきはき,Manner or sound of ぼきぱき: 「ぼきぱき」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),bokipaki,4,7,6,6,4,3,1070.3,7,#FFFFFF
ぼきぼき,JP,ja,はき,Manner or sound of ぼきぼき: 「ぼき」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),bokiboki,5,6,5,6,5,4,659.0,5,#8B4513
ぼけーっ,JP,ja,はけ,Manner or sound of ぼけーっ: 「ぼけー」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,LONG(長音ー),bokeːʔ,5,5,5,6,6,3,758.1,5,#F0FFFF
ぼこり,JP,ja,はこ,Manner or sound of ぼこり: 「ぼこ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),bokoɾi,4,6,5,5,7,4,443.9,6,#8B4513
ぼそっ,JP,ja,はそ,Manner or sound of ぼそっ: 「ぼそ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),bosoʔ,5,7,6,7,6,3,546.4,7,#000000
ぼそり,JP,ja,はそ,Manner or sound of ぼそり: 「ぼそ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),bosoɾi,3,5,5,5,8,3,547.3,6,#FFFFFF
ぼそりぼそり,JP,ja,はそりはそ,Manner or sound of ぼそりぼそり: 「ぼそりぼそ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),bosoɾibosoɾi,4,5,4,5,7,3,637.4,5,#708090
ぼたりぽたり,JP,ja,はたりはた,Manner or sound of ぼたりぽたり: 「ぼたりぽた」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),botaɾipotaɾi,4,6,5,5,7,5,416.6,6,#556B2F
ぼっ,JP,ja,は,Manner or sound of ぼっ: 「ぼ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),boʔ,5,7,6,7,6,4,469.6,8,#000000
ぼとぼと,JP,ja,はと,Manner or sound of ぼとぼと: 「ぼと」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),botoboto,6,4,3,5,6,6,217.7,4,#708090
ぼとり,JP,ja,はと,Manner or sound of ぼとり: 「ぼと」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),botoɾi,4,5,5,5,7,5,372.3,5,#FFFFFF
ぼとん,JP,ja,はと,Manner or sound of ぼとん: 「ぼと」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),botoŋ,5,6,6,6,5,5,325.9,6,#000000
ぼやっ,JP,ja,はや,Manner or sound of ぼやっ: 「ぼや」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),bojaʔ,5,7,6,6,6,4,502.8,7,#BDB76B
ぼやーっ,JP,ja,はや,Manner or sound of ぼやーっ: 「ぼやー」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,LONG(長音ー),bojaːʔ,5,4,5,5,7,4,761.3,4,#BDB76B
ぼろぼろ,JP,ja,はろ,Manner or sound of ぼろぼろ: 「ぼろ」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),boɾoboɾo,5,4,3,4,7,6,165.4,3,#8B4513
ぼろり,JP,ja,はろ,Manner or sound of ぼろり: 「ぼろ」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,RI(り単発),boɾoɾi,4,5,5,4,8,5,382.9,5,#FFFFFF
ぼん,JP,ja,は,Manner or sound of ぼん: 「ぼ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),boŋ,5,6,6,6,5,5,379.8,6,#808080
ぼんぼん,JP,ja,はんは,Manner or sound of ぼんぼん: 「ぼんぼ」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),bomboŋ,6,5,5,5,6,6,258.4,4,#0000CD
ぼーっ,JP,ja,は,Manner or sound of ぼーっ: 「ぼー」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,LONG(長音ー),boːʔ,5,4,5,6,6,4,729.4,4,#F0FFFF
ぼーぼー,JP,ja,はーは,Manner or sound of ぼーぼー: 「ぼー」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),boːboː,6,3,3,4,7,5,389.5,2,#8B4513
ぽい,JP,ja,はい,Manner or sound of ぽい: 「ぽい」という感覚・音・ condition/stateを表す expression.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),poi,4,5,5,4,7,5,534.5,6,#FFFFFF
ぽいっ,JP,ja,はい,Manner or sound of ぽいっ: 「ぽい」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),poiʔ,4,8,6,6,6,3,705.9,8,#000000
ぽいん,JP,ja,はい,Manner or sound of ぽいん: 「ぽい」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),poiŋ,4,6,6,5,5,4,719.1,6,#FFFFFF
ぽかっ,JP,ja,はか,Manner or sound of ぽかっ: 「ぽか」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),pokaʔ,4,7,7,5,6,3,641.6,8,#000000
ぽかりぽかり,JP,ja,はかりはか,Manner or sound of ぽかりぽかり: 「ぽかりぽか」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),pokaɾipokaɾi,3,5,5,4,7,3,655.9,5,#FF4500
ぽかん,JP,ja,はか,Manner or sound of ぽかん: 「ぽか」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,N(撥音単発),pokaŋ,4,6,7,4,5,4,540.2,6,#FF4500
ぽかーん,JP,ja,はか,Manner or sound of ぽかーん: 「ぽかー」と響き渡る音、 or 余韻や弾力を伴う condition/state。,Psychomime (State/Manner),Other,LONG(長音ー),pokaːŋ,3,4,6,3,6,4,867.8,2,#DAA520
ぽきりぽきり,JP,ja,はきりはき,Manner or sound of ぽきりぽきり: 「ぽきりぽき」と一度だけ鮮やかに、あるいは滑らかに行われる action・ condition/state。,Psychomime (State/Manner),Other,REDUP(畳語・同一),pokiɾipokiɾi,3,6,6,5,5,2,1070.2,6,#CD853F
ぽくぽく,JP,ja,はく,Manner or sound of ぽくぽく: 「ぽく」という音や condition/stateが繰り返し連続して生じる manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),pokupoku,4,5,4,4,7,5,443.2,5,#CD853F
ぽけっ,JP,ja,はけ,Manner or sound of ぽけっ: 「ぽけ」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,Q(促音単発),pokeʔ,4,8,6,6,6,3,627.6,8,#FFFFFF
ぽけーっ,JP,ja,はけ,Manner or sound of ぽけーっ: 「ぽけー」とする actionや phenomenonが瞬間的・急激に行われる音や state/manner.,Psychomime (State/Manner),Other,LONG(長音ー),pokeːʔ,4,5,6,5,7,3,901.6,5,#F0FFFF
